video,vidFrame,totalFramesOnDetection,class,score,ymin,xmin,ymax,xmax
AI1 Potholes 001.MP4,1.0,1.0,pothole,0.61569446,0.9255341,0.477415,1.0,0.6417538
AI1 Potholes 001.MP4,49.0,49.0,pothole,0.5276027,0.90942985,0.45810103,0.99600893,0.6401144
AI1 Potholes 001.MP4,61.0,61.0,pothole,0.5101488,0.90982914,0.4601321,0.99631286,0.63994426
AI1 Potholes 001.MP4,253.0,253.0,pothole,0.5871869,0.9308826,0.5249287,1.0,0.7102585
AI1 Potholes 001.MP4,265.0,265.0,pothole,0.6418698,0.92809296,0.5186571,1.0,0.6979892
AI1 Potholes 001.MP4,277.0,277.0,pothole,0.57988304,0.9216236,0.5137634,1.0,0.7006829
AI1 Potholes 001.MP4,289.0,289.0,pothole,0.66847944,0.92624724,0.5158955,1.0,0.69722307
AI1 Potholes 001.MP4,325.0,325.0,pothole,0.5460709,0.9212581,0.49228388,0.9982821,0.68466824
AI1 Potholes 001.MP4,529.0,529.0,pothole,0.5014668,0.9298331,0.5479109,1.0,0.72914624
AI1 Potholes 001.MP4,541.0,541.0,pothole,0.59117645,0.9281845,0.5510126,1.0,0.7399722
AI1 Potholes 001.MP4,601.0,601.0,pothole,0.5200792,0.4482467,0.8688737,0.7183597,0.99765384
AI1 Potholes 001.MP4,721.0,721.0,pothole,0.67343026,0.30358508,0.0,0.37408373,0.15812668
AI1 Potholes 001.MP4,985.0,985.0,pothole,0.6176552,0.85573214,0.46962115,1.0,0.75194216
AI1 Potholes 001.MP4,1573.0,1573.0,pothole,0.5233681,0.2704221,0.3084819,0.38455963,0.46894118
AI1 Potholes 001.MP4,1621.0,1621.0,pothole,0.58642966,0.37684998,0.0,0.57184196,0.6731365
AI1 Potholes 001.MP4,1729.0,1729.0,pothole,0.59579194,0.44262683,0.028836459,0.63391924,0.6894163
AI1 Potholes 001.MP4,1765.0,1765.0,pothole,0.5654804,0.0,0.31551263,0.53829145,1.0
AI1 Potholes 001.MP4,1861.0,1861.0,pothole,0.56065834,0.38288942,0.25017378,1.0,0.9775491
AI1 Potholes 001.MP4,2221.0,2221.0,pothole,0.5733947,0.37501353,0.6331008,0.5241792,0.83859855
AI1 Potholes 001.MP4,2353.0,2353.0,pothole,0.6468461,0.18736492,0.16771695,0.2206531,0.2366721
AI1 Potholes 001.MP4,2377.0,2377.0,pothole,0.5755272,0.15720302,0.5467988,0.22920024,0.7790288
AI1 Potholes 001.MP4,3061.0,3061.0,pothole,0.6181399,0.7855181,0.6652914,0.9851889,0.88804364
AI1 Potholes 001.MP4,3073.0,3073.0,pothole,0.6680271,0.7820794,0.6351716,0.9930524,0.8978359
AI1 Potholes 001.MP4,3073.0,3073.0,pothole,0.6217209,0.14071214,0.0,0.9509028,0.9191357
AI1 Potholes 001.MP4,3085.0,3085.0,pothole,0.54942507,0.7816328,0.6003491,0.9997828,0.8991359
AI1 Potholes 001.MP4,3097.0,3097.0,pothole,0.6689739,0.7820989,0.5965644,0.9985852,0.8956808
AI1 Potholes 001.MP4,3121.0,3121.0,pothole,0.50041586,0.7727593,0.62217367,0.9904487,0.86171186
AI1 Potholes 001.MP4,3133.0,3133.0,pothole,0.7401637,0.76970476,0.6024258,0.99687606,0.86893106
AI1 Potholes 001.MP4,3265.0,3265.0,pothole,0.53187007,0.014404841,0.0,0.15106457,0.29237413
AI1 Potholes 001.MP4,3349.0,3349.0,pothole,0.5241484,0.6443408,0.48968574,0.99369985,0.87543166
AI1 Potholes 001.MP4,3397.0,3397.0,pothole,0.5297658,0.6179318,0.52546686,0.98910505,0.8890843
AI1 Potholes 001.MP4,3409.0,3409.0,pothole,0.5302936,0.63874954,0.5222446,0.985956,0.88920355
AI1 Potholes 001.MP4,3949.0,3949.0,pothole,0.52408916,0.6610342,0.5658765,0.99599063,0.8490937
AI1 Potholes 002.MP4,13.0,3994.0,pothole,0.6005812,0.49422273,0.14847565,0.64328253,0.36631072
AI1 Potholes 002.MP4,121.0,4102.0,pothole,0.5188241,0.020575613,0.79587865,0.27182603,1.0
AI1 Potholes 002.MP4,133.0,4114.0,pothole,0.5995654,0.024756663,0.77001834,0.2656503,1.0
AI1 Potholes 002.MP4,205.0,4186.0,pothole,0.58725184,0.08708641,0.7512659,0.31698057,0.98661757
AI1 Potholes 002.MP4,229.0,4210.0,pothole,0.575446,0.10722301,0.7860056,0.31459275,1.0
AI1 Potholes 002.MP4,241.0,4222.0,pothole,0.557363,0.095150925,0.79231215,0.32065892,1.0
AI1 Potholes 002.MP4,253.0,4234.0,pothole,0.532399,0.09677321,0.80493474,0.3482289,1.0
